ID,timeset,LANGUAGE,FAVORITE_C,QUOTE_C,REPLY_C,RETWEET_C,VIEWS_C,full_text
1759271000850501861,2024-02-18T17:37:46+00:00,nl,93,3,19,30,8025,Schokkende beelden: “UNRWA-medewerker neemt lichaam van vermoorde Israëliër mee in voertuig tijdens Hamas-aanval op kibboets” https://t.co/4VLAFuTKVz
1759189343275466980,2024-02-18T12:13:18+00:00,nl,445,8,109,80,34771,"Vierdaagse werkweek van 32 uur, jongeren meer tijd thuis met de kinderen, vanaf 55 jaar 3 extra vrije dagen per week om het te kunnen volhouden.. en de rekening ? On verra bien ! Tijd voor confederalisme!"
1758827733210071107,2024-02-17T12:16:23+00:00,qme,11,0,0,0,272,@de_NVA #voorVlaamsewelvaert https://t.co/74d2d20f8r
1758740358400274623,2024-02-17T06:29:11+00:00,nl,251,8,63,88,14767,"UNWRA:Minstens 30 medewerkers zouden volgens Israël betrokken zijn bij terroristische aanval op 7/10/23.185 Zouden linken met gewapende tak Hamas hebben, 51 met Islamitische Jihad.Wanneer handelt @carogennez ?https://t.co/AsycYv2pyW"
1758469657986564350,2024-02-16T12:33:31+00:00,nl,31,2,10,5,1541,"1048 Jongeren tussen 18 en 24 jaar werden er in 2021 in gedwongen opnames geplaatst. Dat zijn er 35% meer dan in het jaar 2017.Inzetten op preventie, meer ambulante zorg en meer zorgverstrekkers gespecialiseerd in geestelijke gezondheidszorg is dringend! https://t.co/Fd2eSoHRyZ"
1757657344710787269,2024-02-14T06:45:41+00:00,nl,0,0,0,163,,RT @MichaelFreilich: Dringend strenger optreden actie nodig van onze regering:🚨Terreurgroep #Hamas actief in België met fondsenwerving en…
1756609005932154982,2024-02-11T09:19:57+00:00,nl,0,0,0,38,,"RT @louis_ide: Terwijl de Vlaamse mainstream media niets berichten over de @aktweetsbe enquête, doet Le Soir dat (uitgebreid) wel! We leven…"
1756260929832943945,2024-02-10T10:16:50+00:00,nl,218,5,43,45,11968,"✅46 % van de artsen spreekt steun uit voor @de_NVA en haar hervormingsplannen in de gezondheidszorg✅36 % geeft Vandenbroucke 0/10✅2,7/10 als gemiddelde score voor VDB!✅N-VA is het enige alternatief voor hervorming waarbij artsen meer medezeggenschap krijgen in het beleid https://t.co/QZvHir2vA1"
1755926762599469116,2024-02-09T12:08:58+00:00,nl,379,4,36,98,10089,Werd nog een ander bedrijf gebeld dan Movianto in kader van het miljoenen contract voor de verdeling van de COVID vaccins? Minister Vandenbroucke weigert te antwoorden.. #vaccingate https://t.co/xwOI8dVnbf
1755917834557837717,2024-02-09T11:33:29+00:00,nl,0,0,0,21,,"RT @louis_ide: Voor wat een peiling waard is, toch doet de @aktweetsbe peiling deugd! 46% van de artsen steunt @de_NVA! Verder blijkt het v…"
1755859525855326441,2024-02-09T07:41:47+00:00,nl,122,3,15,23,3743,"2,7/10  vr minister Vandenbroucke in @aktweetsbe 🧪eigengereid en professoraal🌡️gebrek aan transparantie en overleg 💉ingrepen die neigen naar staatsgeneeskunde🩹geflopte hervormingenArtsen willen consistente hervorming en vrijwaring vrij beroep @de_NVA is het alternatief! https://t.co/vH494aQBNg"
1755288075897311433,2024-02-07T17:51:03+00:00,nl,171,3,33,31,8291,Wie gelooft die man nog ? 🤦‍♀️
1755262946060497087,2024-02-07T16:11:12+00:00,nl,294,3,36,54,20095,#Vreemd | Wat heeft Frank Vandenbroucke te verbergen?Vandenbroucke zou zélf (!) transparantie moeten geven over de #lobbyisten die hij ziet. Maar doet dit niet.Vandenbroucke zou zélf (!) maatregelen moeten nemen om de #integriteit op zijn kabinet te garanderen. Maar ook… https://t.co/AcMHd3s1Ip
1754874385607860398,2024-02-06T14:27:12+00:00,nl,44,1,16,14,1942,"Eerst onderzoeken, dan pas oordelen over financiering. Correct, zo hoort het!BELGA WIRE: Israëlisch-Palestijns conflict : Minister-president Jambon wacht onderzoeken af om steun aan UNRWA te vernieuwen  https://t.co/ZlqB9hOOrN"
1754815592542990492,2024-02-06T10:33:34+00:00,nl,0,0,0,397,,RT @Assita_Kanko: Nieuwe EU richtlijn moet vrouwen beter beschermen. Vrouwelijke genitale verminking is een extreme vorm van geweld en disc…
1753334732442439936,2024-02-02T08:29:10+00:00,nl,0,0,0,34,,RT @de_NVA: 'Minister Vandenbroucke beweerde dat vaccinbedrijf Medista onderdeed voor Movianto m.b.t. een overheidsaanbesteding. Dat blijkt…
1759712732150960271,2024-02-19T22:53:03+00:00,nl,544,7,31,136,60664,Brusselse ministers van begroting:• 1999    (OpenVLD) Annemie Neyts• 2000            “                            “• 2001   (OpenVLD) Guy Vanhengel• 2002            “                            “• 2003            “                            “• 2004            “…
1752055430547681588,2024-01-29T19:45:40+00:00,nl,324,5,19,84,7891,🚨Doofpot! Het parlement krijgt géén inzage in het onderzoek naar de overfacturatie van #bpost voor het krantencontract - ook niet achter gesloten deuren.Nochtans zijn er aanwijzingen genoeg van malversaties. Lees mijn reactie in @lecho. #scandaleuxhttps://t.co/6DtYgMN5mI https://t.co/NrsHI8lcez
1759904771127824798,2024-02-20T11:36:09+00:00,nl,1045,20,79,264,27545,"Zet zulke imams toch gewoon buiten!Hier zie je de Pakistaanse radicale imam Muhammad Ansar Butt, die koranverzen zong in het Brusselse Parlement en er een medaille ontving voor goede integratie, aan de zijde van moefti Muneeb-ur-Rehman, een jihadprediker die de regering van… https://t.co/slqZmTjxrm"
1759904043386773797,2024-02-20T11:33:16+00:00,nl,0,0,0,81,,RT @PieterBauwens: Gids Fort van #Breendonk geeft er na 14 jaar de brui aan. ‘De directie negeert het gebrek aan respect bij allochtone lee…
1759641565700518235,2024-02-19T18:10:16+00:00,nl,1316,22,122,310,77744,"Imam biedt excuses aan nadat hij de verzen van Koran heeft geciteerd in het Brusselse parlement. De schade is echter al aangericht.De moslimextremisten die trots de film van het reciteren van de Koran in het hart van de westerse democratie zagen passeren, hebben het signaal al… https://t.co/eJSfYEI8pP"
1759617633660395717,2024-02-19T16:35:10+00:00,nl,0,0,0,32,,"RT @PALNWS: ""Als ik tien jaar geleden had verteld dat een imam islamitische verzen zou zingen in het hart van de democratie, had men mij vo…"
1759496203778118015,2024-02-19T08:32:39+00:00,fr,0,0,0,266,,"RT @CNEWS: Claude Moniquet : «C'est symbolique d'un abandon qui se produit en Belgique depuis des décennies, où des partis plutôt marqués à…"
1759213780427260293,2024-02-18T13:50:24+00:00,nl,575,8,58,154,18285,"Volgens sommigen verricht UNRWA levensreddend werk. België geeft miljoenen euros aan UNRWA. Kijk, dit is een maatschappelijk werker van UNRWA in Gaza, Faisal Al Naami. Er is bewijs opgedoken dat hij deelnam aan het bloedbad van Hamas op 7 oktober.De Washington Post gaf… https://t.co/FCVrXpt1ov"
1759199392181993530,2024-02-18T12:53:14+00:00,nl,0,0,0,200,,RT @SafaiDarya: “Van de cel naar de Kamer”Mijn strijd tegen het islamismeEen Pakistaanse Imam gaat in 2024 naar het Brusselse Parlement…
1759198905713975346,2024-02-18T12:51:18+00:00,nl,0,0,0,153,,"RT @SafaiDarya: Het lijkt dat de Pakistaanse imam die verzen uit de Koran zong in het Brussels Parlement, Muhammad Ansar Butt, een van de P…"
1759143226290610584,2024-02-18T09:10:03+00:00,en,851,18,41,273,22701,"A Pakistani Imam goes to the Brussels Parliament in 2024, the heart of Western democracy, and chants verses from the Quran of surah Al-Ahzaab, a surah in which many verses are about the war against Jews and infidels and how they must be exterminated.And all this is done with… https://t.co/GnWmogl5F5"
1758985445445410870,2024-02-17T22:43:05+00:00,fr,0,0,0,229,,RT @AlainGerlache: Ce n'est pas un 'incident'. C'est la démonstration qu'il y a dans certains milieux une stratégie de conquête du pouvoir…
1758973450075398568,2024-02-17T21:55:25+00:00,nl,612,8,41,153,22352,"Het lijkt dat de Pakistaanse imam die verzen uit de Koran zong in het Brussels Parlement, Muhammad Ansar Butt, een van de Punjabis was die in oktober 2022 met de Dawat e islami door de straten van #Molenbeek marcheerde.En zo’n extremist krijg een medaille voor perfecte… https://t.co/8kd4GbmAVI"
1758965062683750643,2024-02-17T21:22:05+00:00,nl,560,18,673,23,72867,Wat vinden jullie de mooiste foto? 1 of 2 ? https://t.co/b0fzP8ddQ5
1758837518147981332,2024-02-17T12:55:16+00:00,nl,893,6,65,200,47288,"“Van de cel naar de Kamer”Mijn strijd tegen het islamismeEen Pakistaanse Imam gaat in 2024 naar het Brusselse Parlement, hét hart van de westerse democratie bij uitstek, en zingt verzen uit de Koran van de soera Al-Ahzaab, een soera waarin vele verzen over de oorlog tegen… https://t.co/sT0IwKauY9"
