ID,cluster,full_text,FAVORITE_C,QUOTE_C,REPLY_C,RETWEET_C,VIEWS_C
1758849346303369265,8,"Avec @SamuelCogolati nous avons présenté notre équipe @ecolobe pour la Chambre à Liège ce matin.Une équipe forte avec la championne de judo @chavansnick, les bourgmestres @jmjavaux et de @niessenclaudia, mais aussi le soutien Muriel Gerkens.#plusvertplusjuste https://t.co/p3w2LfeFGA",45,5,20,9,5233.0
1757398468925005926,8,"Fierté, honneur: @ChaVanSnick rejoint les rangs d'Ecolo en province de Liège. Suite logique d’un parcours engagé contre les VSS dans le sport, contre les discriminations et pour la planète. Une ceinture verte contre la marée noire. Bienvenue à nos côtés! @SamuelCogolati @Ecolo https://t.co/OvZuaun0MA",43,2,19,4,2898.0
1755248077462462694,0,"Heureuse de l’aboutissement de ce texte. Énorme déception pour le retrait de la définition du viol. La Belgique, à la pointe, a déjà adopté cette définition il y a plus de 2 ans. Je propose une visite de terrain à tous ceux qui doutent. @EmmanuelMacron @GabrielAttal",24,0,2,3,1284.0
1755298415838167495,0,"@CLTEVX @EmmanuelMacron @GabrielAttal Bonjour, la Belgique a inscrit le non consentement comme fondement du viol dans son code pénal en 2021. Sachez que je préfère vivre dans un pays de guguss que dans un pays qui protège les agresseurs. 👋",0,0,1,0,23.0
1755255471856902554,0,"Chaque année, c’est l’équivalent d’une classe qui est décimée dans ces circonstances en Belgique. Ce sont nos mères, nos voisines, nos sœurs, nos amies. Sans oublier celles qui vivent avec les séquelles d’une tentative de féminicide. Et leurs proches.https://t.co/rfF5wJYwt3",17,1,3,4,1237.0
1755256894438936709,0,"Rappel: banaliser ces violences, c’est contribuer à les renforcer. J’en appelle à la responsabilité de chacun·e: journalistes, politiques ou blablateurs professionnels.",3,0,0,0,219.0
1752732465385312547,1,RT @Asolim_: Ils disent qu’ils sont du côté des agriculteurs mais… #AgriculteurEnColere https://t.co/SVaJWFGvau,0,0,0,55,
1752605981761032604,0,RT @RajaeMaouane: Je comprends le malaise du MR de Georges-Louis Bouchez : avoir la compétence de l’agriculture sans discontinuer depuis 20…,0,0,0,48,
1752359481390878967,0,"Le dérèglement climatique et lalutte contre la précarité, en lien avec la crise du logement, au cœur du discours du Roi. Et la paix aussi. #Priorité2024 https://t.co/sqWIrmV2Ob",7,0,0,1,458.0
1751974922195202322,0,"Retrouvez mon interview de rentrée dans @LaMeuse_be !L’occasion de revenir sur les racines de mon engagement – la justice sociale et le #climat – et sur plusieurs gros dossiers prioritaires: #logement, sans-abrisme, #agriculture, sécurité des Liégeois,…https://t.co/dlS2gY5TG9",27,1,12,3,1766.0
1751975539382841758,0,"Cette année, près de 4 milliards d’électrices et électeurs seront appelés aux urnes.Notre responsabilité en tant que candidats est de saisir ce levier pour renforcer la démocratie, réconcilier citoyens et politique, et mener un débat de société constructif. #Elections2024",5,0,1,0,215.0
1751975668487692689,0,"Bien sûr, d’ici au #9juin, je continue de faire bouger les lignes au #Parlement!",5,0,1,0,183.0
1750900697426518068,10,Verdict historique aujourd'hui.  La Cour internationale de justice a demandé à Israël de prendre « toutes les mesures en son pouvoir pour prévenir et punir l’incitation directe et publique à commettre le génocide ».#ChaqueVieCompte #CeaseFireNOW #FreeTheHostages,37,5,15,4,3419.0
1750900823389884752,10,"Maintenant, place à l'action, la Belgique doit défendre avec force un cessez-le-feu immédiat et tout faire pour empêcher le «risque sérieux de génocide » à Gaza. https://t.co/ZjzLEmFbAQ",4,1,4,0,385.0
1750467825083273238,0,Près de 300 dossiers ouverts pour #antisémitisme auprès d’Unia en 4 ans. Les chiffres le montrent: il y a un avant et un après #7octobre. [1/3]https://t.co/oUMnQykyFC,14,3,12,1,2478.0
1750467999683748293,10,"Ce rapport tire à nouveau la sonnette d’alarme : il faut s'attaquer à l'antisémitisme, qui gâche la vie de nombreuses personnes dans notre société. [2/3]",3,0,3,0,309.0
1750468499347046843,0,"Dès le début de mon mandat, j’ai agi pour le renforcement des dispositifs de lutte contre l’antisémitisme en lançant le mécanisme de coordination. Je ne peux donc que rejoindre la première recommandation d’Unia: investir durablement dans cet outil. J'y veillerai. [3/3]",3,1,2,0,378.0
1747941474245722126,8,"C’est avec joie que je vous annonce que je serai candidate sur la liste @Vert_Ardent aux élections communales de Liège, le 13 octobre prochain.Du niveau global au niveau local, nous avons besoin d’actions fortes pour répondre à l’urgence climatique et sociale. [1/5]",55,3,12,3,7213.0
1747941789703553339,4,"Pour moi, #Liège mérite une vraie ambition citoyenne, féministe, écologiste et solidaire. #Liège doit devenir une ville où toutes les femmes se sentent en sécurité, y compris la nuit. #Elections2024 [2/5]",7,2,1,1,1278.0
1747942161591435538,10,"#Liège doit devenir une ville où l’on respire mieux : pour cela, il faut poursuivre et amplifier les efforts pour donner davantage de place aux vélos, aux piétons et aux transports en commun. #Elections2024 [3/5]",5,0,1,1,601.0
1747942473672822814,0,"En tirant les bonnes leçons du passé, #Liège doit aussi devenir ville où l’on gère collectivement, et non individuellement, les sinistres climatiques. #Elections2024 [4/5]",5,0,1,1,563.0
1747943083012932072,0,Je suis convaincue que notre mouvement peut transformer la Cité ardente : c’est pourquoi je mets mon énergie et mon expérience au service de @Vert_Ardent ! [5/5],6,0,1,1,687.0
1747943445023338746,0,@Vert_Ardent Retrouvez l’article @LaMeuse_be annonçant ma candidature ici: https://t.co/KGWIJNo4LT,6,0,0,0,529.0
1759855838313734437,4,@jbaert Tragisch ongeval inderdaad. Deze vrouw wandelde blijkbaar op de voetgangersstrook. Het onderzoek zal moeten uitwijzen waarom de bus haar dan toch heeft aangereden.,2,0,6,0,914.0
1759856297468465267,4,@LiesWeder @jbaert Deze vrouw wandelde op de voetgangersstrook aan de halte. Dat heeft dus niks te maken met ‘leg er een zebrapad’. Laat het onderzoek en verkeersdeskundigen de juiste conclusies trekken aub.,0,0,1,0,165.0
1759849815377051777,0,RT @FlDidden: Geen grote verrassing. Zeven jaar aan het hoofd van Frontex. Pushbacks werden in de doofpot gestopt. Ngo's verdacht gemaakt e…,0,0,0,18,
1758470310318207234,0,RT @F__Timmermans: Het totalitaire regime van Putin maakt weer een slachtoffer. Aleksej Navalny overleeft de goelag niet. Moed en onverzett…,0,0,0,335,
1757508414148608293,0,"@MartensEveline @groen Wauw, zo tof!",0,0,0,0,930.0
1755674942891298899,0,"RT @MachteldVerbru1: @LydiaPeeters op radio, zegt dat als er niet genoeg geld voorzien is voor subsidie elektrische wagens, extra geld kan…",0,0,0,61,
1755674803472671074,0,RT @pdsutter: Onze aanpassing aan de postwet werd zonet gestemd in de Kamer!@BIPT_IBPT kan spelers op de pakjesmarkt voortaan opleggen om…,0,0,0,4,
1755630335302230390,0,@KarenLiesens @Pensioenspook Het zou je sieren als je nu ook zou reageren op het artikel dat @Pensioenspook heeft gedeeld met jou. En dat je ook toegeeft dat je je vergist hebt om dit aan te grijpen om groen proberen belachelijk te maken.,0,0,2,0,134.0
1755631779224907872,0,@KarenLiesens @Pensioenspook Oh nu moet je al beginnen schelden. T is proper.,2,0,1,0,78.0
1755636805011968201,0,@CoosemansTommy @KarenLiesens @Pensioenspook Ik voel me helemaal niet aangesproken. Bijzonder haar reactie wel.,0,0,2,0,70.0
1755631453616971992,0,@KarenLiesens @Pensioenspook Flauw antwoord. Serieus echt flauw. Maar i take note en zal zeker volgende keer antwoorden als je me een vraag stelt 😉,0,0,2,0,69.0
